strain	date		country	region	lineage	GRI.Lineage.Level.0	GRI.Lineage.Level.1	GRI.Lineage.Level.2	GRI.Lineage.Level.3	GRI.Lineage.Level.4	GRI.Lineage.Level.5	GRI.Lineage.Level.6	GRI.Lineage.Level.7	GRI.Lineage.Level.8	author	accession	old_date	decimal_date	latitude	longitude
HM045816.1	1966-11-23		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	1966-11-23	1966.89315068493	14.4750607	-14.4529612
HM045785.1	1966-11-01		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	1966-11-01 (1966-11-01 - 1966-11-27)	1966.83287671233	14.4750607	-14.4529612
HM045815.1	1979-02-01		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	1979-02-01 (1979-02-01 - 1979-02-25)	1979.08493150685	14.4750607	-14.4529612
HM045786.1	1964-07-07		Nigeria	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	1964-07-07	1964.51366120219	9.6000359	7.9999721
MK028837.1	1983-07-11		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Morrison,T., Hawman,D., Powers,A., Agnihothram,S., Zhao,X., Nagaraj,S., Vavikolanu,K., Nadendla,S., Sadzewicz,L., Tallon,L.J. and Sichtig,H.	NA	1983-07-11 (1983-01-01 - 1983-12-31)	1983.52328767123	14.4750607	-14.4529612
AY726732.1	1983-08-08		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Vanlandingham,D.L., Hong,C., Klingler,K., Tsetsarkin,K., McElroy,K.L., Powers,A.M., Lehane,M.J. and Higgs,S.	NA	1983-08-08 (1983-01-01 - 1983-12-31)	1983.6	14.4750607	-14.4529612
KX262995.1	1983-07-10		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Das,S.R., Shabman,R., Halpin,R.A., Shilts,M., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Weaver,S.C.	NA	1983-07-10	1983.52054794521	14.4750607	-14.4529612
KX262986.1	1983-08-13		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Das,S.R., Shabman,R., Halpin,R.A., Shilts,M., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Weaver,S.C.	NA	1983-08-13 (1983-01-01 - 1983-12-31)	1983.61369863014	14.4750607	-14.4529612
HM045817.1	2005-11-01		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	2005-11-01 (2005-11-01 - 2005-11-27)	2005.83287671233	14.4750607	-14.4529612
HM045820.1	1993-12-01		Cote_d'Ivoire	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	1993-12-01 (1993-12-01 - 1993-12-28)	1993.91506849315	7.9897371	-5.5679458
HM045818.1	1981-09-30		Cote_d'Ivoire	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	1981-09-30 (1981-09-04 - 1981-09-30)	1981.74520547945	7.9897371	-5.5679458
HM045819.1	1993-02-01		Senegal	WAf	WA	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	not assigned	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.	NA	1993-02-01 (1993-02-01 - 1993-02-25)	1993.08493150685	14.4750607	-14.4529612
